"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"588","0521","2015","Øyer",14630,60.7919254658385,56.7296102852551,58.7956564659427,22.4,15.2,18.6,13.2,24.1,5,5.6,4.3,62591
"589","0521","2016","Øyer",15639,60.419091967404,56.7535070140281,58.6159305993691,21.5,15.7,19,13.6,24.7,5.1,5.6,4.5,65847
"590","0521","2017","Øyer",16338,60.2787456445993,56.6626650660264,58.5005903187721,21.7,15.5,19.6,13.8,25.6,5.5,6.4,4.5,72266
"591","0522","2008","Gausdal",9835,57.0123939986954,55.5337904015671,56.2734540708109,21.3,14.3,12.5,8.3,16.6,2.5,3,2.1,38908
"592","0522","2009","Gausdal",10852,57.2967678746327,55.2509907529723,56.279757018552,21.4,13.9,13.2,9.1,17.3,2.7,3.2,2.2,41660
"593","0522","2010","Gausdal",10890,57.1936631102489,55.755985569039,56.4799739498535,20.3,13.4,14,9.6,18.4,2.9,3.4,2.4,42857
"594","0522","2011","Gausdal",12166,56.7837576538833,55.4641211323239,56.1309233023937,21.9,13.4,14.8,10.1,19.5,2.7,3.1,2.4,44211
"595","0522","2012","Gausdal",12770,56.0702875399361,55.1815181518152,55.6331168831169,20.7,13.6,14.9,10.5,19.4,2.9,3,2.9,45311
"596","0522","2013","Gausdal",12965,56.111645813282,54.6296296296296,55.3818596319818,20.6,13.9,15.2,10.6,19.9,3.3,3.3,3.3,47950
"597","0522","2014","Gausdal",12113,56.4207221350078,54.4888597640891,55.4753888087221,19.7,13.3,15.7,10.7,20.7,3.5,3.6,3.5,48844
"598","0522","2015","Gausdal",13638,56.5586662472476,55.031342791158,55.8132045088567,19.4,13.3,16.6,11.2,22.1,3.7,3.8,3.6,51683
"599","0522","2016","Gausdal",12584,57.0625,54.8728113643872,55.9980729083026,19.3,13.9,16.9,11.5,22.5,3.8,3.9,3.8,53068
"600","0522","2017","Gausdal",14697,57.2595851665619,55.0628722700199,56.1895551257253,18.9,14,17.1,11.5,23,3.9,4,3.9,53225
"601","0528","2008","Østre Toten",9440,59.0280687054881,56.0153466703206,57.5074348156857,21.2,14.9,16,12,19.9,2.9,3.8,2,40938
"602","0528","2009","Østre Toten",10890,59.2313067784766,56.0131344917225,57.6050884955752,21.2,14.6,16.1,12,20,3,3.8,2.2,43406
"603","0528","2010","Østre Toten",11162,59.2561638111158,55.7160376073034,57.4665931946549,21.4,14.6,16.4,12,20.7,3.1,3.8,2.4,43303
"604","0528","2011","Østre Toten",11687,59.1718426501035,56.0674004620193,57.6075047932073,22.5,14.3,16.8,12.2,21.3,3.2,3.9,2.6,43241
"605","0528","2012","Østre Toten",12889,58.8371459694989,55.7746859381332,57.2997897877534,22.4,14,17.1,12.4,21.8,3.4,4,2.9,42586
"606","0528","2013","Østre Toten",12793,58.9285714285714,56.0075942500678,57.4698631992415,22.2,13.5,17.6,12.8,22.4,3.5,3.9,3,43011
"607","0528","2014","Østre Toten",13603,58.4961595472308,55.7504078303426,57.1293225959261,22.8,14,17.9,13.1,22.6,3.9,4.3,3.5,42946
"608","0528","2015","Østre Toten",14072,58.7523527830062,55.4226692035879,57.0965125709651,22.9,14,18.2,13.4,23.1,4,4.3,3.8,44467
"609","0528","2016","Østre Toten",14705,58.9682223108629,55.2200406228842,57.1112303770294,21.8,14.7,18.7,13.7,23.9,4.5,4.7,4.2,45760
"610","0528","2017","Østre Toten",16012,59.3775046753941,55.0601270098635,57.2311412641902,21.3,14.9,19.1,13.9,24.4,4.5,4.6,4.3,46351
"611","0529","2008","Vestre Toten",10092,60.6008178672539,57.9416918910307,59.2797783933518,19.4,14,15.1,12.1,18.1,2.3,3.4,1.3,44665
"612","0529","2009","Vestre Toten",10267,60.8163265306122,57.6134930643127,59.2181846783074,20,13,15.4,12.1,18.8,2.5,3.5,1.5,47145
